"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYXY",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",10,5,71,140,6,40233.6,29.45,NA,"SCT  ft; OVC  ft","METAR CYXY 010500Z 14006KT 25SM SCT065 OVC100 10/05 A2945 RMK SC3AC5 SLP995 DENSITY ALT 2800FT",2026-09-01 05:39:52.236689,2026-09-01 01:39:52.236689
"CYZF",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",12,8,76,120,9,24140.16,29.74,NA,"FEW  ft","METAR CYZF 010500Z 12009KT 15SM FEW110 12/08 A2974 RMK AC2 SLP081",2026-09-01 05:39:52.336838,2026-09-01 01:39:52.336838
"CYFB",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",9,6,81,320,9,24140.16,30.09,NA,NA,"METAR CYFB 010500Z 32009KT 15SM SKC 09/06 A3009 RMK SLP193",2026-09-01 05:39:52.436905,2026-09-01 01:39:52.436905
"CYRT",2026-09-01 05:00:00,2026-09-01 01:00:00,"LIFR",9,9,100,180,11,2414.02,30.01,NA,"OVC  ft","METAR CYRT 010500Z 18011KT 1 1/2SM BR OVC003 09/09 A3001 RMK FG4ST4 SLP165",2026-09-01 05:39:52.545643,2026-09-01 01:39:52.545643
"CYBK",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",14,11,82,190,7,24140.16,29.86,NA,"BKN  ft; OVC  ft","METAR CYBK 010500Z 19007KT 15SM BKN072 OVC220 14/11 A2986 RMK AC5CS3 SLP113",2026-09-01 05:39:52.640524,2026-09-01 01:39:52.640524
"CYRB",2026-09-01 05:00:00,2026-09-01 01:00:00,"LIFR",6,6,100,120,8,1005.84,29.49,NA,"VV  ft","METAR CYRB 010500Z 12008KT 5/8SM -RA BR VV002 06/06 A2949 RMK FG8 VIS CHNGNG RPDLY SLP995",2026-09-01 05:39:52.741862,2026-09-01 01:39:52.741862
"CYCO",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",6,4,87,130,3,24140.16,29.77,NA,"FEW  ft","METAR CYCO 010500Z 13003KT 15SM FEW030 06/04 A2977 RMK SC1 SLP086",2026-09-01 05:39:52.840024,2026-09-01 01:39:52.840024
"CYER",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",12,11,93,120,11,14484.1,29.85,NA,"SCT  ft","METAR CYER 010700Z AUTO 12011KT 9SM SCT240 12/11 A2985 RMK SLP110",2026-09-01 07:47:01.821006,2026-09-01 03:47:01.821006
"CYAT",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",10,10,100,80,2,14484.1,29.93,NA,NA,"METAR CYAT 010700Z AUTO 08002KT 9SM CLR 10/10 A2993 RMK SLP138",2026-09-01 07:47:01.888117,2026-09-01 03:47:01.888117
"CYMO",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"METAR CYMO 010700Z AUTO /////KT RMK WIND MISG CLD MISG WX MISG VIS MISG PCPN MISG PRES MISG T MISG DP MISG ICE MISG DENSITY ALT MISG",2026-09-01 07:47:01.922183,2026-09-01 03:47:01.922183
"CYPL",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",18,18,100,140,12,14484.1,29.7,NA,"BKN  ft; OVC  ft","METAR CYPL 010700Z AUTO 14012KT 9SM BKN091 OVC110 18/18 A2970 RMK SLP063 DENSITY ALT 2200FT",2026-09-01 07:47:01.95989,2026-09-01 03:47:01.95989
"CYQT",2026-09-01 07:00:00,2026-09-01 03:00:00,"LIFR",18,18,100,60,3,603.5,29.84,NA,"VV  ft","METAR CYQT 010700Z 06003KT 3/8SM R07/3000V3500FT/D FG VV002 18/18 A2984 RMK FG8 VIS VRB 1/4-1/2 SLP109 DENSITY ALT 1200FT",2026-09-01 07:47:02.000111,2026-09-01 03:47:02.000111
"CYAM",2026-09-01 07:34:00,2026-09-01 03:34:00,"IFR",19,19,100,NA,2,2414.02,29.89,NA,"OVC  ft","SPECI CYAM 010734Z VRB02KT 1 1/2SM BR OVC006 19/19 A2989 RMK FG2ST6 SLP125 DENSITY ALT 1400FT",2026-09-01 07:47:02.036134,2026-09-01 03:47:02.036134
"CYTS",2026-09-01 07:00:00,2026-09-01 03:00:00,"VFR",18,17,93,110,5,24140.16,29.91,NA,"SCT  ft; BKN  ft; BKN  ft","METAR CYTS 010700Z 11005KT 15SM SCT033 BKN110 BKN160 18/17 A2991 RMK SC3AC2AC2 SLP129 DENSITY ALT 1600FT",2026-09-01 07:47:02.07244,2026-09-01 03:47:02.07244
"CYSB",2026-09-01 07:38:00,2026-09-01 03:38:00,"LIFR",18,18,100,0,0,4023.36,29.92,NA,"OVC  ft","SPECI CYSB 010738Z 00000KT 2 1/2SM -SHRA BR OVC002 18/18 A2992 RMK ST8 WIND EST SLP133 DENSITY ALT 1800FT",2026-09-01 07:47:02.105776,2026-09-01 03:47:02.105776
"CYYB",2026-09-01 07:39:00,2026-09-01 03:39:00,"LIFR",18,17,93,130,12,9656.06,29.91,NA,"OVC  ft","SPECI CYYB 010739Z AUTO 13012G17KT 6SM -RA BR OVC002 18/17 A2991 RMK LTNG DIST SE PCPN 0.8MM PAST HR SLP130 DENSITY ALT 1900FT",2026-09-01 07:47:02.13829,2026-09-01 03:47:02.13829
"CYOW",2026-09-01 07:25:00,2026-09-01 03:25:00,"VFR",17,16,93,20,9,9999,30.01,NA,"SCT  ft; OVC  ft","SPECI CYOW 010725Z 02009KT 10SM SHRA SCT056 OVC110 17/16 A3001 RMK SC4AC4 CVCTV CLD EMBD PRESRR SLP165 DENSITY ALT 700FT",2026-09-01 07:47:02.177515,2026-09-01 03:47:02.177515
